title,author,user_rating,published_year,avg_rating,ratings_count
"Death Note, Vol. 4: Love(Death Note, #4)","Ohba, Tsugumi",5,2004,4.42,40590
"Death Note, Vol. 3: Hard Run(Death Note, #3)","Ohba, Tsugumi",5,2004,4.45,40358
"Death Note, Vol. 2: Confluence(Death Note, #2)","Ohba, Tsugumi",5,2004,4.48,54451
"Death Note, Vol. 1: Boredom(Death Note, #1)","Ohba, Tsugumi",5,2004,4.47,336835
Jane Eyre,"Brontë, Charlotte",4,1847,4.15,2226673
E Não Sobrou Nenhum,"Christie, Agatha",4,1939,4.28,1507860
Menina feita de estrelas,"Blake, Ashley Herring",3,2018,4.19,28981
"Cemetery Boys(Cemetery Boys, #1)","Thomas, Aiden",3,2020,4.25,102544
O Colecionador,"Fowles, John",4,1963,3.97,87351
To Kill a Mockingbird,"Lee, Harper",5,1960,4.26,6584012
Pachinko,"Lee, Min Jin",5,2017,4.34,557893
Confissões do Crematório,"Doughty, Caitlin",4,2014,4.22,102285
"The House in the Cerulean Sea(Cerulean Chronicles, #1)","Klune, T.J.",5,2020,4.38,816311
The Midnight Library,"Haig, Matt",3,2020,3.99,2183600
Os despossuídos,"Le Guin, Ursula K.",5,1974,4.25,139006
"How the King of Elfhame Learned to Hate Stories(The Folk of the Air, #3.5)","Black, Holly",4,2020,4.16,241447
The Flatshare,"O'Leary, Beth",3,2019,3.99,433092
"A Good Girl's Guide to Murder(A Good Girl's Guide to Murder, #1)","Jackson, Holly",3,2019,4.3,1543083
Um Milhão de Finais Felizes,"Martins, Vitor",4,2018,4.44,5242
1984,"Orwell, George",5,1949,4.2,5100702
The Invisible Life of Addie LaRue,"Schwab, Victoria",3,2020,4.18,1327319
Like a Love Story,"Nazemian, Abdi",4,2019,4.26,15272
"Heartstopper: Volume One(Heartstopper, #1)","Oseman, Alice",5,2018,4.44,830701
"The Prisoner in the Oak(The Mists of Avalon, #4)","Bradley, Marion Zimmer",3,1982,4.16,5413
"The King Stag(The Mists of Avalon, #3)","Bradley, Marion Zimmer",4,1982,4.16,5964
"The High Queen(The Mists of Avalon, #2)","Bradley, Marion Zimmer",3,1982,4.14,7241
A Senhora da Magia(As Brumas de Avalon #1),"Bradley, Marion Zimmer",4,1982,4.1,5568
"Captive Prince(Captive Prince, #1)","Pacat, C.S.",4,2013,3.79,111552
